    Iteration  Factor          P1          P2          P3          P4
            1       1           1           1           1           1 
            1       2    2.14e-01    1.83e-01    3.51e-04    3.51e-04 
            1       3    3.03e-04    3.00e-04    2.07e-01    2.00e-01 
            1       4    2.56e-04    2.17e-01    3.06e-04    3.09e-04 
            1       5    1.65e-01    2.21e-04    2.79e-04    2.75e-04 
            1       6    3.20e-04    3.20e-04    1.88e-01    2.41e-04 
            1       7    3.25e-04    3.17e-04    2.47e-04    2.01e-01 
            2       1           1           1           1           1 
            2       2    2.02e-01    1.60e-01    3.33e-04    3.36e-04 
            2       3    3.02e-04    2.99e-04    1.91e-01    1.82e-01 
            2       4    2.61e-04    2.34e-01    2.97e-04    2.98e-04 
            2       5    1.63e-01    2.26e-04    2.56e-04    2.55e-04 
            2       6    2.89e-04    2.94e-04    1.93e-01    2.46e-04 
            2       7    2.96e-04    2.99e-04    2.51e-04    2.11e-01 
            3       1           1           1           1           1 
            3       2    1.96e-01    1.37e-01    3.26e-04    3.30e-04 
            3       3    3.01e-04    3.00e-04    1.78e-01    1.65e-01 
            3       4    2.67e-04    2.53e-01    2.92e-04    2.93e-04 
            3       5    1.57e-01    2.31e-04    2.48e-04    2.48e-04 
            3       6    2.76e-04    2.83e-04    1.99e-01    2.51e-04 
            3       7    2.85e-04    2.92e-04    2.56e-04    2.23e-01 
            4       1           1           1           1           1 
            4       2    1.93e-01    1.12e-01    3.22e-04    3.28e-04 
            4       3    3.00e-04    3.02e-04    1.65e-01    1.47e-01 
            4       4    2.74e-04    2.72e-01    2.88e-04    2.90e-04 
            4       5    1.48e-01    2.36e-04    2.43e-04    2.43e-04 
            4       6    2.70e-04    2.79e-04    2.06e-01    2.57e-04 
            4       7    2.79e-04    2.88e-04    2.61e-04    2.36e-01 
            5       1           1           1           1           1 
            5       2    1.94e-01    8.79e-02    3.19e-04    3.26e-04 
            5       3    2.98e-04    3.06e-04    1.53e-01    1.30e-01 
            5       4    2.81e-04    2.89e-01    2.85e-04    2.87e-04 
            5       5    1.35e-01    2.44e-04    2.40e-04    2.40e-04 
            5       6    2.64e-04    2.76e-04    2.13e-01    2.63e-04 
            5       7    2.73e-04    2.86e-04    2.67e-04    2.50e-01 
            6       1           1           1           1           1 
            6       2    2.00e-01    6.46e-02    3.18e-04    3.26e-04 
            6       3    2.97e-04    3.11e-04    1.42e-01    1.13e-01 
            6       4    2.87e-04    3.03e-01    2.81e-04    2.84e-04 
            6       5    1.17e-01    2.59e-04    2.37e-04    2.38e-04 
            6       6    2.59e-04    2.74e-04    2.21e-01    2.76e-04 
            6       7    2.68e-04    2.84e-04    2.73e-04    2.64e-01 
            7       1           1           1           1           1 
            7       2    2.09e-01    4.38e-02    3.17e-04    3.27e-04 
            7       3    2.97e-04    3.18e-04    1.31e-01    9.63e-02 
            7       4    2.94e-04    3.12e-01    2.79e-04    2.83e-04 
            7       5    9.59e-02    3.02e-04    2.37e-04    2.39e-04 
            7       6    2.55e-04    2.73e-04    2.31e-01    4.30e-04 
            7       7    2.63e-04    2.82e-04    2.82e-04    2.79e-01 
            8       1           1           1           1           1 
            8       2    2.23e-01    2.71e-02    3.16e-04    3.29e-04 
            8       3    3.00e-04    3.27e-04    1.17e-01    7.95e-02 
            8       4    3.00e-04    3.18e-01    2.77e-04    2.82e-04 
            8       5    7.33e-02    2.97e-04    2.37e-04    2.39e-04 
            8       6    2.52e-04    2.72e-04    2.45e-01    3.12e-03 
            8       7    2.61e-04    2.80e-04    3.27e-04    2.94e-01 
            9       1           1           1           1           1 
            9       2    2.38e-01    1.43e-02    3.16e-04    3.28e-04 
            9       3    3.05e-04    3.36e-04    9.87e-02    6.24e-02 
            9       4    3.09e-04    3.20e-01    2.74e-04    2.81e-04 
            9       5    5.70e-02    3.06e-04    2.40e-04    2.43e-04 
            9       6    2.52e-04    2.73e-04    2.63e-01    7.79e-03 
            9       7    2.61e-04    2.80e-04    7.19e-04    3.08e-01 
           10       1           1           1           1           1 
           10       2    2.49e-01    7.13e-03    3.14e-04    3.24e-04 
           10       3    3.15e-04    3.49e-04    7.84e-02    4.90e-02 
           10       4    3.24e-04    3.21e-01    2.74e-04    2.81e-04 
           10       5    4.19e-02    3.14e-04    2.46e-04    2.51e-04 
           10       6    2.54e-04    2.82e-04    2.83e-01    1.26e-02 
           10       7    2.61e-04    2.79e-04    3.93e-04    3.19e-01 
           11       1           1           1           1           1 
           11       2    2.57e-01    3.34e-03    3.13e-04    3.22e-04 
           11       3    3.25e-04    3.56e-04    5.47e-02    3.58e-02 
           11       4    3.56e-04    3.20e-01    2.74e-04    2.82e-04 
           11       5    2.97e-02    2.84e-04    2.48e-04    2.52e-04 
           11       6    2.59e-04    2.94e-04    3.02e-01    1.85e-02 
           11       7    2.62e-04    2.78e-04    3.35e-04    3.26e-01 
           12       1           1           1           1           1 
           12       2    2.63e-01    2.10e-03    3.15e-04    3.22e-04 
           12       3    3.41e-04    3.71e-04    3.55e-02    2.63e-02 
           12       4    4.02e-04    3.19e-01    2.77e-04    2.83e-04 
           12       5    2.22e-02    2.88e-04    2.60e-04    2.63e-04 
           12       6    2.64e-04    3.02e-04    3.15e-01    2.44e-02 
           12       7    2.64e-04    2.78e-04    3.35e-04    3.31e-01 
           13       1           1           1           1           1 
           13       2    2.67e-01    1.86e-03    3.18e-04    3.23e-04 
           13       3    3.61e-04    3.88e-04    2.25e-02    1.83e-02 
           13       4    4.26e-04    3.17e-01    2.80e-04    2.84e-04 
           13       5    1.65e-02    2.76e-04    2.62e-04    2.63e-04 
           13       6    2.65e-04    3.00e-04    3.23e-01    2.74e-02 
           13       7    2.64e-04    2.78e-04    3.38e-04    3.34e-01 
           14       1           1           1           1           1 
           14       2    2.70e-01    1.80e-03    3.19e-04    3.23e-04 
           14       3    3.97e-04    4.22e-04    1.60e-02    1.19e-02 
           14       4    4.20e-04    3.15e-01    2.82e-04    2.84e-04 
           14       5    1.32e-02    2.89e-04    2.77e-04    2.77e-04 
           14       6    2.62e-04    2.88e-04    3.28e-01    3.09e-02 
           14       7    2.65e-04    2.77e-04    3.41e-04    3.35e-01 
           15       1           1           1           1           1 
           15       2    2.72e-01    1.76e-03    3.20e-04    3.24e-04 
           15       3    4.25e-04    4.44e-04    1.08e-02    7.38e-03 
           15       4    4.02e-04    3.12e-01    2.82e-04    2.85e-04 
           15       5    1.10e-02    2.89e-04    2.81e-04    2.81e-04 
           15       6    2.63e-04    2.87e-04    3.32e-01    3.32e-02 
           15       7    2.66e-04    2.77e-04    3.42e-04    3.37e-01 
           16       1           1           1           1           1 
           16       2    2.73e-01    1.73e-03    3.21e-04    3.24e-04 
           16       3    4.30e-04    4.40e-04    5.47e-03    4.97e-03 
           16       4    3.83e-04    3.10e-01    2.83e-04    2.85e-04 
           16       5    8.72e-03    3.11e-04    3.02e-04    3.02e-04 
           16       6    2.64e-04    2.86e-04    3.35e-01    3.49e-02 
           16       7    2.66e-04    2.76e-04    3.43e-04    3.38e-01 
           17       1           1           1           1           1 
           17       2    2.74e-01    1.70e-03    3.22e-04    3.25e-04 
           17       3    3.76e-04    3.78e-04    2.18e-03    3.15e-03 
           17       4    3.66e-04    3.08e-01    2.83e-04    2.85e-04 
           17       5    6.31e-03    3.47e-04    3.37e-04    3.37e-04 
